x,JP5,JetA,JP7,JetB,AvGas
-39.712,853.935,848.353,830.062,804.081,751.527
-39.52,853.813,848.214,829.911,803.981,751.36
-36.834,852.058,846.28,827.984,802.349,748.957
-35.683,851.236,845.516,827.265,801.169,747.9
-35.491,851.093,845.417,827.143,800.901,747.723
-34.723,850.503,845.128,826.637,799.518,747.013
-32.996,849.129,843.812,825.281,796.307,745.412
-32.613,848.829,843.508,824.903,796.064,745.055
-32.229,848.542,843.203,824.478,795.962,744.699
-31.269,847.929,842.434,823.2,795.975,743.807
-30.118,847.245,841.535,821.453,796.001,742.736
-29.734,846.998,841.278,821.487,795.946,742.379
-29.638,846.935,841.216,821.64,795.925,742.29
-29.542,846.872,841.154,821.407,795.9,742.201
-28.871,846.418,840.709,820.49,795.652,741.577
-27.815,845.687,839.982,821.03,795.054,740.597
-27.048,845.146,839.44,821.24,794.505,739.889
-25.705,844.19,838.474,819.939,793.394,738.744
-25.321,843.915,838.196,819.561,792.819,738.442
-25.129,843.778,838.056,819.399,792.215,738.289
-24.745,843.53,837.776,819.126,791.695,737.981
-23.018,842.33,836.51,818.374,790.133,736.563
-20.908,840.852,834.957,817.572,788.633,734.749
-20.332,840.447,834.534,816.302,788.248,734.226
-19.756,840.041,834.111,815.276,787.87,733.674
-17.838,838.688,832.705,813.634,786.641,731.372
-16.494,837.749,831.728,812.741,785.801,730.406
-15.535,837.116,831.037,812.194,785.207,729.729
-14.768,836.593,830.492,811.807,784.734,729.062
-14.192,836.19,830.09,811.149,784.379,727.723
-12.465,834.973,828.957,809.363,783.185,727.52
-11.697,834.432,828.519,808.734,782.424,725.417
-11.122,834.028,828.177,808.488,781.831,724.841
-10.93,833.896,828.051,808.479,781.636,725.064
-9.779,833.124,827.22,808.339,780.52,724.831
-7.668,831.586,825.483,806.621,778.962,723.026
-5.941,830.323,823.826,805.046,778.46,721.371
-5.749,830.183,823.647,804.878,777.804,721.188
-5.557,830.043,823.476,804.711,776.621,721.009
-5.173,829.764,823.176,804.386,772.628,720.674
